"","inflation_2019","player_name","salary","TEAM","AGE","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","Tax"
"109",2.5,"Tyreke Evans",12400000,"IND","29","6'6","220","Memphis","USA","2009","1","4","3.7","player_2019","SG",26,11,22.3,3.8,10.1,0.376,1.4,3.8,0.36,2.4,6.3,0.387,0.445,1.8,2.4,0.774,0.6,2.4,3,2.6,1.3,0.3,2.2,1.9,10.8,"3.30%"
"110",2.5,"Courtney Lee",12253780,"NYK","33","6'5""","215","Western Kentucky","USA","2008","1","22","-7.9","player_2019","SG",4,0,10.8,1,3.5,0.286,0.5,1.3,0.4,0.5,2.3,0.222,0.357,1,1.5,0.667,1,1.3,2.3,1.5,0.5,0,0,1.3,3.5,"8.82%"
"111",2.5,"JJ Redick",12250000,"PHI","34","6'4""","200","Duke","USA","2006","1","11","7.7","player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.07%"
"112",2.5,"Kemba Walker",1.2e+07,"CHA","28","6'1""","184","Connecticut","USA","2011","1","9","1.6","player_2019","PG",26,26,34.7,8.6,19.7,0.437,3.2,9.1,0.354,5.4,10.6,0.507,0.519,5.3,6.5,0.827,0.4,4,4.4,6.2,1.4,0.4,2.6,1.7,25.8,"5.75%"
"113",2.5,"Avery Bradley",1.2e+07,"LAC","28","6'2""","180","Texas","USA","2010","1","19","-3.4","player_2019","SG",21,21,29.5,3.1,8.4,0.367,0.8,3,0.254,2.3,5.4,0.43,0.412,0.3,0.4,0.778,0.5,1.7,2.1,1.7,0.7,0.5,1.4,2.8,7.3,"12.30%"
"114",2.5,"Kentavious Caldwell-Pope",1.2e+07,"LAL","25","6'5""","205","Georgia","USA","2013","1","8","-1.5","player_2019","SG",27,3,21.6,2.7,6.9,0.387,1.4,4,0.349,1.3,2.9,0.442,0.489,1.9,2,0.926,0.4,1.9,2.3,0.6,0.8,0.2,0.6,1.5,8.6,"12.30%"
"115",2.5,"Will Barton",11830358,"DEN","27","6'6","190","Memphis","USA","2012","2","40","27.6","player_2019","SG",2,2,27,6,10.5,0.571,2.5,4.5,0.556,3.5,6,0.583,0.69,2,2,1,0,5,5,3,0.5,1,1.5,2.5,16.5,"4.63%"
"116",2.5,"TJ Warren",11750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2.5,"Zach Randolph",11692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2.5,"Patrick Mills",11571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2.5,"Alec Burks",11536515,"CLE","27","6'6","214","Colorado","USA","2011","1","12","-6.7","player_2019","SG",24,2,19.7,3.2,8.1,0.397,1.1,3.1,0.351,2.1,5,0.425,0.464,2.2,2.5,0.852,0.2,2.5,2.6,1.8,0.5,0.2,1,1.3,9.7,"5.33%"
"120",2.5,"Omer Asik",11286516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2.5,"Marcus Smart",11160716,"BOS","24","6'4""","220","Oklahoma State","USA","2014","1","6","6.9","player_2019","SG",26,6,24.4,2.1,5.5,0.382,1,3.4,0.307,1.1,2.2,0.5,0.476,1.2,1.6,0.732,0.7,1.9,2.6,4.1,1.6,0.5,1.3,2.5,6.4,"5.15%"
"122",2.5,"Jusuf Nurkic",11111111,"POR","24","7'0""","275","None","Bosnia & Herz...","2014","1","16","7.9","player_2019","C",27,27,26.5,5.6,10.9,0.51,0.1,0.8,0.136,5.4,10.1,0.54,0.515,3.8,5,0.761,4,6.6,10.6,2.4,1,1.3,2.3,3.1,15,"9.90%"
"123",2.5,"Iman Shumpert",11011234,"SAC","28","6'5""","215","Georgia Tech","USA","2011","1","17","-1.1","player_2019","SG",22,20,25.6,3.3,7.6,0.435,1.9,4.8,0.39,1.5,2.9,0.508,0.557,1,1.1,0.875,0.4,2.6,3,1.8,1.3,0.3,0.8,2.5,9.5,"12.30%"
"124",2.5,"Moe Harkless",10837079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2.5,"Tony Snell",10607143,"MIL","27","6'7""","213","New Mexico","USA","2013","1","20","10.1","player_2019","SG",26,1,16.8,2.1,5.1,0.417,1.1,3.1,0.35,1,2,0.519,0.523,0.9,1,0.889,0.4,1.5,1.8,0.7,0.4,0.2,0.3,1.1,6.2,"7.65%"
"126",2.5,"Dante Exum",10600000,"UTA","23","6'6","190","None","Australia","2014","1","5","-0.6","player_2019","PG",27,0,15.5,2.2,5.5,0.403,0.4,1.5,0.268,1.8,4,0.454,0.44,1.8,2.4,0.727,0.3,1.3,1.6,2.1,0.3,0.1,1.1,1.7,6.6,"5%"
"127",2.5,"Meyers Leonard",10595506,"POR","26","7'1""","255","Illinois","USA","2012","1","11","-7.6","player_2019","C",24,0,12.3,1.9,3.8,0.5,0.9,1.8,0.488,1,2,0.511,0.617,0.9,1.1,0.846,1.1,3.1,4.2,1,0.3,0.1,0.7,1.4,5.5,"9.90%"
"128",2.5,"John Henson",10577466,"CLE","27","6'11""","219","North Carolina","USA","2012","1","14","0.7","player_2019","C",14,0,13.4,2.2,4.8,0.463,0.8,2.2,0.355,1.4,2.6,0.556,0.545,0.4,0.7,0.6,1.1,3.9,5.1,1,0.5,0.8,0.9,1.1,5.6,"5.33%"
"129",2.5,"Bojan Bogdanovic",10500000,"IND","29","6'8""","216","None","Croatia","2011","2","31","4.6","player_2019","SF",27,27,31.3,5.9,11.1,0.527,2.1,4.3,0.491,3.7,6.8,0.549,0.622,2.8,3.4,0.806,0.4,3.4,3.9,1.4,0.8,0,1.7,1.8,16.6,"3.30%"
"130",2.5,"Mirza Teletovic",10500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
