"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"3165","Serge Ibaka"," 2253061","OKC","6'10""","235","None","Democratic Re...","2008","1","24","  10.6","2013","PF","23","80","80","  31.1","  5.6","  9.7","  0.3","  0.7","  5.3","  9.0","  1.8","  2.4"," 2.8","  4.9","  7.7","  0.5"," 0.4"," 3.0","  1.6","  2.7"," 13.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","0.577319587629","0.588888888889","0.592783505155","0.428571428571","0.75000000000"
"3166","DeShawn Stevenson"," 2240450","ATL","6'5""","218","None","USA","2000","1","23","  -2.2","2013","SG","31","56","31","  20.7","  1.8","  4.7","  1.4","  3.7","  0.4","  0.9","  0.2","  0.4"," 0.3","  1.9","  2.2","  0.9"," 0.5"," 0.1","  0.4","  1.2","  5.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.382978723404","0.444444444444","0.531914893617","0.378378378378","0.50000000000"
"3167","Austin Rivers"," 2238360","NOH","6'4""","200","Duke","USA","2012","1","10","  -5.5","2013","SG","20","61","26","  23.2","  2.4","  6.4","  0.5","  1.4","  1.9","  5.0","  1.0","  1.8"," 0.3","  1.5","  1.8","  2.1"," 0.4"," 0.1","  1.2","  2.0","  6.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.375000000000","0.380000000000","0.414062500000","0.357142857143","0.55555555556"
"3168","Rodrigue Beaubois"," 2227332","DAL","6'2""","185","None","France","2009","1","25","   3.2","2013","PG","24","45"," 0","  12.2","  1.4","  3.9","  0.5","  1.6","  1.0","  2.3","  0.7","  0.8"," 0.2","  1.1","  1.3","  1.9"," 0.4"," 0.1","  0.7","  1.2","  4.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.358974358974","0.434782608696","0.423076923077","0.312500000000","0.87500000000"
"3169","CJ Miles"," 2225000","CLE","6'6","222","None","USA","2005","2","34","  -3.3","2013","SF","25","65","13","  21.0","  3.9","  9.4","  1.9","  5.0","  2.0","  4.4","  1.4","  1.6"," 0.4","  2.3","  2.7","  1.0"," 0.8"," 0.3","  1.1","  2.1"," 11.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.414893617021","0.454545454545","0.515957446809","0.380000000000","0.87500000000"
"3170","Klay Thompson"," 2222160","GSW","6'7""","205","Washington State","USA","2011","1","11","   2.2","2013","SG","22","82","82","  35.8","  6.2"," 14.7","  2.6","  6.4","  3.6","  8.3","  1.6","  1.9"," 0.4","  3.3","  3.7","  2.2"," 1.0"," 0.5","  1.9","  2.9"," 16.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","0.421768707483","0.433734939759","0.510204081633","0.406250000000","0.84210526316"
"3171","Ed Davis"," 2207040","MEM","6'10""","232","North Carolina","USA","2010","1","13","  -0.7","2013","C-PF","23","81","28","  20.1","  3.2","  6.0","  0.0","  0.0","  3.2","  6.0","  1.3","  2.1"," 1.9","  3.8","  5.7","  0.8"," 0.5"," 1.0","  0.8","  2.4","  7.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.533333333333","0.533333333333","0.533333333333","           NaN","0.61904761905"
"3172","Martell Webster"," 2200000","WAS","6'7""","230","None","USA","2005","1","6","  -0.3","2013","SF","26","76","62","  28.9","  3.7","  8.4","  1.8","  4.3","  1.9","  4.0","  2.2","  2.6"," 0.7","  3.2","  3.9","  1.9"," 0.6"," 0.2","  1.2","  2.2"," 11.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.440476190476","0.475000000000","0.547619047619","0.418604651163","0.84615384615"
"3173","Alec Burks"," 2171640","UTA","6'6","202","Colorado","USA","2011","1","12","   3.9","2013","SG","21","64"," 0","  17.8","  2.5","  6.1","  0.5","  1.4","  2.0","  4.6","  1.4","  2.0"," 0.6","  1.7","  2.3","  1.4"," 0.5"," 0.2","  1.2","  1.8","  7.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.409836065574","0.434782608696","0.450819672131","0.357142857143","0.70000000000"
"3174","Taj Gibson"," 2155811","CHI","6'9""","225","Southern California","USA","2009","1","26","   5.1","2013","PF","27","65"," 5","  22.4","  3.3","  6.8","  0.0","  0.1","  3.3","  6.7","  1.4","  2.0"," 1.9","  3.4","  5.3","  0.9"," 0.4"," 1.4","  1.2","  2.6","  8.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.485294117647","0.492537313433","0.485294117647","0.000000000000","0.70000000000"
"3175","Meyers Leonard"," 2126520","POR","7'1""","245","Illinois","USA","2012","1","11","  -7.1","2013","C","20","69"," 9","  17.5","  2.2","  4.0","  0.0","  0.1","  2.1","  3.9","  1.0","  1.3"," 1.2","  2.5","  3.7","  0.5"," 0.2"," 0.6","  0.7","  2.4","  5.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.550000000000","0.538461538462","0.550000000000","0.000000000000","0.76923076923"
"3176","Patrick Patterson"," 2096760","SAC","6'9""","235","Kentucky","USA","2010","1","14","   1.6","2013","PF","23","71","41","  25.0","  4.5","  8.8","  0.7","  1.9","  3.8","  6.9","  0.7","  0.9"," 1.6","  3.2","  4.7","  1.1"," 0.4"," 0.6","  0.9","  1.9"," 10.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.511363636364","0.550724637681","0.551136363636","0.368421052632","0.77777777778"
"3177","Dante Cunningham"," 2090000","MIN","6'8""","230","Villanova","USA","2009","2","33","  -2.4","2013","PF","25","80"," 9","  25.1","  3.9","  8.4","  0.0","  0.1","  3.9","  8.3","  0.8","  1.3"," 1.8","  3.3","  5.1","  0.8"," 1.1"," 0.5","  0.7","  1.9","  8.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.464285714286","0.469879518072","0.464285714286","0.000000000000","0.61538461538"
"3178","Wayne Ellington"," 2083042","CLE","6'4""","200","North Carolina","USA","2009","1","28","   0.3","2013","SG","25","78","21","  21.3","  2.9","  6.8","  1.2","  3.1","  1.7","  3.7","  0.9","  1.0"," 0.3","  1.8","  2.1","  1.3"," 0.6"," 0.0","  0.7","  1.0","  7.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.426470588235","0.459459459459","0.514705882353","0.387096774194","0.90000000000"
"3179","Toney Douglas"," 2067880","SAC","6'2""","185","Florida State","USA","2009","1","29","   4.0","2013","PG","26","71"," 0","  18.2","  2.6","  6.6","  1.2","  3.0","  1.5","  3.5","  1.1","  1.2"," 0.5","  1.5","  1.9","  2.1"," 1.0"," 0.0","  1.1","  2.0","  7.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.393939393939","0.428571428571","0.484848484848","0.400000000000","0.91666666667"
"3180","Markieff Morris"," 2063040","PHX","6'10""","245","Kansas","USA","2011","1","13","  -9.2","2013","PF","23","82","32","  22.4","  3.2","  8.0","  0.5","  1.6","  2.7","  6.3","  1.1","  1.5"," 1.6","  3.2","  4.8","  1.3"," 0.9"," 0.8","  1.3","  2.5","  8.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.400000000000","0.428571428571","0.431250000000","0.312500000000","0.73333333333"
"3181","Shaun Livingston"," 2038446","CLE","6'7""","175","None","USA","2004","1","4","  -4.3","2013","PG","27","66","16","  22.0","  2.5","  5.2","  0.0","  0.1","  2.5","  5.2","  1.3","  1.5"," 0.5","  1.9","  2.4","  3.3"," 0.7"," 0.5","  1.2","  1.9","  6.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.480769230769","0.480769230769","0.480769230769","0.000000000000","0.86666666667"
"3182","Jeremy Lamb"," 2020200","OKC","6'5""","180","Connecticut","USA","2012","1","12"," -15.9","2013","SF","20","23"," 0","   6.4","  1.0","  3.0","  0.4","  1.3","  0.7","  1.7","  0.6","  0.6"," 0.2","  0.6","  0.8","  0.2"," 0.1"," 0.1","  0.3","  0.6","  3.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.333333333333","0.411764705882","0.400000000000","0.307692307692","1.00000000000"
"3183","Earl Watson"," 2000000","UTA","6'1""","199","UCLA","USA","2001","2","39","  -2.6","2013","PG","33","48"," 4","  17.3","  0.8","  2.5","  0.1","  0.6","  0.7","  1.9","  0.4","  0.5"," 0.5","  1.3","  1.8","  4.0"," 0.8"," 0.2","  1.4","  2.0","  2.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.320000000000","0.368421052632","0.340000000000","0.166666666667","0.80000000000"
"3184","Larry Sanders"," 1991760","MIL","6'11""","235","Virginia Commonwealth","USA","2010","1","15","   2.1","2013","C","24","71","55","  27.3","  4.3","  8.5","  0.0","  0.0","  4.3","  8.5","  1.2","  1.9"," 3.2","  6.3","  9.5","  1.2"," 0.7"," 2.8","  1.2","  3.3","  9.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.505882352941","0.505882352941","0.505882352941","           NaN","0.63157894737"
"3185","Marcus Morris"," 1959960","PHX","6'9""","235","Kansas","USA","2011","1","14","  -4.1","2013","PF-SF","23","77","23","  19.8","  2.9","  6.8","  1.1","  3.0","  1.8","  3.8","  0.9","  1.5"," 1.0","  2.6","  3.6","  0.8"," 0.6"," 0.3","  1.0","  2.1","  7.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.426470588235","0.473684210526","0.507352941176","0.366666666667","0.60000000000"
"3186","Marco Belinelli"," 1957000","CHI","6'5""","195","None","Italy","2007","1","18","  -1.3","2013","SG","26","73","27","  25.8","  3.3","  8.4","  1.1","  3.0","  2.2","  5.3","  1.9","  2.3"," 0.2","  1.7","  1.9","  2.0"," 0.6"," 0.1","  1.1","  1.9","  9.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.392857142857","0.415094339623","0.458333333333","0.366666666667","0.82608695652"
"3187","Kendall Marshall"," 1919160","PHX","6'4""","195","North Carolina","USA","2012","1","13"," -13.3","2013","PG","21","48"," 3","  14.6","  1.2","  3.1","  0.5","  1.5","  0.7","  1.6","  0.2","  0.3"," 0.1","  0.8","  0.9","  3.0"," 0.5"," 0.1","  1.2","  1.0","  3.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.387096774194","0.437500000000","0.467741935484","0.333333333333","0.66666666667"
"3188","Luke Babbitt"," 1892280","POR","6'9""","225","Nevada","USA","2010","1","16","  -1.3","2013","PF","23","62"," 0","  11.8","  1.4","  3.8","  1.0","  2.9","  0.4","  0.9","  0.2","  0.2"," 0.2","  2.0","  2.2","  0.5"," 0.2"," 0.1","  0.4","  1.3","  3.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.368421052632","0.444444444444","0.500000000000","0.344827586207","1.00000000000"
"3189","Kawhi Leonard"," 1861920","SAS","6'7""","225","San Diego State","USA","2011","1","15","  10.4","2013","SF","21","58","57","  31.2","  4.5","  9.1","  1.1","  3.0","  3.4","  6.1","  1.8","  2.2"," 1.1","  4.9","  6.0","  1.6"," 1.7"," 0.6","  1.1","  1.7"," 11.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","0.494505494505","0.557377049180","0.554945054945","0.366666666667","0.81818181818"
"3190","John Henson"," 1823280","MIL","6'11""","220","North Carolina","USA","2012","1","14","  -1.5","2013","PF","22","63"," 9","  13.1","  2.6","  5.3","  0.0","  0.0","  2.6","  5.3","  0.9","  1.7"," 1.8","  2.9","  4.7","  0.5"," 0.3"," 0.7","  0.7","  1.3","  6.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.490566037736","0.490566037736","0.490566037736","           NaN","0.52941176471"
"3191","Kevin Seraphin"," 1797600","WAS","6'9""","275","Le Moyne","France","2010","1","17","  -5.6","2013","C","23","79"," 8","  21.8","  4.2","  9.1","  0.0","  0.0","  4.2","  9.1","  0.8","  1.1"," 1.4","  3.0","  4.4","  0.7"," 0.3"," 0.7","  1.6","  2.7","  9.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.461538461538","0.461538461538","0.461538461538","           NaN","0.72727272727"
"3192","Jeremy Evans"," 1795000","UTA","6'9""","194","Western Kentucky","USA","2010","2","55","   5.5","2013","PF","25","37"," 0","   5.8","  0.7","  1.2","  0.0","  0.0","  0.7","  1.2","  0.6","  0.9"," 0.7","  0.9","  1.6","  0.3"," 0.2"," 0.4","  0.2","  0.8","  2.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.583333333333","0.583333333333","0.583333333333","           NaN","0.66666666667"
"3193","Nikola Vucevic"," 1768800","ORL","7'0""","240","Southern California","Montenegro","2011","1","16","  -8.0","2013","C","22","77","77","  33.2","  6.0"," 11.5","  0.0","  0.0","  6.0"," 11.5","  1.1","  1.6"," 3.5","  8.4"," 11.9","  1.9"," 0.8"," 1.0","  1.8","  2.8"," 13.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.521739130435","0.521739130435","0.521739130435","           NaN","0.68750000000"
"3194","Eric Bledsoe"," 1707720","LAC","6'1""","195","Kentucky","USA","2010","1","18","   3.8","2013","PG","23","76","12","  20.4","  3.3","  7.5","  0.4","  1.0","  2.9","  6.4","  1.4","  1.8"," 1.0","  1.9","  3.0","  3.1"," 1.4"," 0.7","  1.8","  1.5","  8.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.440000000000","0.453125000000","0.466666666667","0.400000000000","0.77777777778"
"3195","Iman Shumpert"," 1680360","NYK","6'5""","220","Georgia Tech","USA","2011","1","17","  -0.3","2013","SG","22","45","45","  22.1","  2.4","  6.1","  1.1","  2.8","  1.3","  3.3","  0.8","  1.0"," 0.7","  2.3","  3.0","  1.7"," 1.0"," 0.2","  0.8","  2.2","  6.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.393442622951","0.393939393939","0.483606557377","0.392857142857","0.80000000000"
"3196","Anthony Randolph"," 1674641","DEN","6'11""","225","Louisiana State","USA","2008","1","14","   1.4","2013","PF","23","39"," 0","   8.4","  1.4","  2.9","  0.0","  0.2","  1.4","  2.7","  0.8","  1.2"," 0.7","  1.7","  2.4","  0.3"," 0.5"," 0.5","  0.9","  1.1","  3.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.482758620690","0.518518518519","0.482758620690","0.000000000000","0.66666666667"
"3197","Avery Bradley"," 1630800","BOS","6'2""","180","Texas","USA","2010","1","19","  -1.3","2013","PG","22","50","50","  28.7","  3.8","  9.6","  0.8","  2.5","  3.0","  7.0","  0.7","  1.0"," 0.6","  1.6","  2.2","  2.1"," 1.3"," 0.4","  1.4","  2.6","  9.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.395833333333","0.428571428571","0.437500000000","0.320000000000","0.70000000000"
"3198","Reggie Evans"," 1622618","BKN","6'8""","245","Iowa","USA","Undrafted","Undrafted","Undrafted","   3.1","2013","PF","32","80","56","  24.6","  1.6","  3.3","  0.0","  0.0","  1.6","  3.3","  1.4","  2.8"," 3.3","  7.9"," 11.1","  0.5"," 0.9"," 0.2","  1.4","  2.5","  4.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.484848484848","0.484848484848","0.484848484848","           NaN","0.50000000000"
"3199","Chris Singleton"," 1596360","WAS","6'8""","230","Florida State","USA","2011","1","18","  -3.4","2013","PF","23","57","11","  16.2","  1.6","  4.2","  0.1","  0.6","  1.5","  3.6","  0.7","  1.2"," 0.9","  2.3","  3.2","  0.6"," 0.7"," 0.4","  0.8","  2.2","  4.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.380952380952","0.416666666667","0.392857142857","0.166666666667","0.58333333333"
"3200","Sebastian Telfair"," 1567500","TOR","6'0""","170","None","USA","2004","1","13","  -0.8","2013","PG","27","59"," 2","  16.6","  1.9","  5.2","  0.9","  2.5","  1.0","  2.7","  0.9","  1.2"," 0.2","  1.2","  1.4","  2.6"," 0.6"," 0.2","  1.1","  1.8","  5.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.365384615385","0.370370370370","0.451923076923","0.360000000000","0.75000000000"
"3201","Tyler Zeller"," 1563120","CLE","7'0""","250","North Carolina","USA","2012","1","17","  -5.9","2013","C","23","77","55","  26.4","  3.2","  7.3","  0.0","  0.1","  3.2","  7.2","  1.6","  2.0"," 2.1","  3.6","  5.7","  1.2"," 0.5"," 0.9","  1.2","  3.3","  7.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.438356164384","0.444444444444","0.438356164384","0.000000000000","0.80000000000"
"3202","Tobias Harris"," 1524480","ORL","6'8""","226","Tennessee","USA","2011","1","19","  -6.2","2013","SF-PF","20","55","34","  23.6","  4.2","  9.3","  0.6","  2.0","  3.6","  7.3","  1.9","  2.5"," 1.3","  3.9","  5.2","  1.3"," 0.6"," 0.8","  1.2","  2.2"," 11.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.451612903226","0.493150684932","0.483870967742","0.300000000000","0.76000000000"
"3203","Derek Fisher"," 1519214","OKC","6'1""","210","Arkansas-Little Rock","USA","1996","1","24","   5.8","2013","SG-PG","38","33"," 9","  17.4","  1.7","  4.9","  0.9","  2.4","  0.8","  2.5","  1.1","  1.2"," 0.1","  1.1","  1.1","  1.4"," 0.6"," 0.1","  0.9","  1.7","  5.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.346938775510","0.320000000000","0.438775510204","0.375000000000","0.91666666667"
"3204","Gustavo Ayon"," 1500000","MIL","6'10""","250","None","Mexico","Undrafted","Undrafted","Undrafted","   0.1","2013","C","27","55"," 3","  13.3","  1.7","  3.0","  0.0","  0.0","  1.7","  3.0","  0.4","  0.9"," 1.1","  2.5","  3.6","  1.3"," 0.4"," 0.3","  0.9","  1.9","  3.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.566666666667","0.566666666667","0.566666666667","           NaN","0.44444444444"
"3205","Terrence Jones"," 1485000","HOU","6'9""","252","Kentucky","USA","2012","1","18","  -2.9","2013","PF","21","19"," 0","  14.5","  2.3","  4.9","  0.3","  1.0","  2.0","  3.9","  0.7","  0.9"," 1.5","  1.9","  3.4","  0.8"," 0.6"," 1.0","  0.7","  1.1","  5.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.469387755102","0.512820512821","0.500000000000","0.300000000000","0.77777777778"
"3206","Jared Jeffries"," 1475106","POR","6'11""","240","Indiana","USA","2002","1","11","  -0.3","2013","PF","31","38"," 0","   9.2","  0.4","  1.4","  0.0","  0.1","  0.4","  1.4","  0.3","  0.6"," 0.7","  0.9","  1.6","  0.4"," 0.2"," 0.2","  0.4","  1.5","  1.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.285714285714","0.285714285714","0.285714285714","0.000000000000","0.50000000000"
"3207","Keyon Dooling"," 1471491","MEM","6'3""","195","Missouri","USA","2000","1","10"," -13.7","2013","PG","32"," 7"," 0","  11.7","  1.4","  3.0","  0.7","  1.7","  0.7","  1.3","  0.9","  1.0"," 0.0","  0.1","  0.1","  1.1"," 0.1"," 0.0","  0.7","  1.1","  4.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.466666666667","0.538461538462","0.583333333333","0.411764705882","0.90000000000"
"3208","Andrew Nicholson"," 1418160","ORL","6'9""","250","St. Bonaventure","Canada","2012","1","19","  -5.9","2013","PF","23","75","28","  16.7","  3.4","  6.5","  0.0","  0.0","  3.4","  6.5","  1.0","  1.3"," 0.9","  2.5","  3.4","  0.6"," 0.3"," 0.4","  1.1","  1.8","  7.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.523076923077","0.523076923077","0.523076923077","           NaN","0.76923076923"
"3209","Nolan Smith"," 1404960","POR","6'2""","185","Duke","USA","2011","1","21","  -1.4","2013","PG","24","40"," 0","   7.2","  1.1","  2.9","  0.2","  0.7","  0.9","  2.2","  0.5","  0.7"," 0.2","  0.5","  0.7","  0.9"," 0.2"," 0.0","  0.7","  0.7","  2.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.379310344828","0.409090909091","0.413793103448","0.285714285714","0.71428571429"
"3210","Jodie Meeks"," 1400000","LAL","6'4""","208","Kentucky","USA","2009","2","41","   0.9","2013","SG","25","78","10","  21.3","  2.6","  6.8","  1.6","  4.4","  1.1","  2.4","  1.1","  1.2"," 0.5","  1.7","  2.2","  0.9"," 0.7"," 0.1","  0.7","  1.3","  7.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.382352941176","0.458333333333","0.500000000000","0.363636363636","0.91666666667"
"3211","Nando De Colo"," 1400000","SAS","6'5""","200","None","France","2009","2","53","  -2.3","2013","SG","25","72"," 6","  12.8","  1.5","  3.3","  0.4","  1.1","  1.0","  2.2","  0.5","  0.6"," 0.3","  1.6","  1.9","  1.9"," 0.6"," 0.1","  1.1","  1.2","  3.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.454545454545","0.454545454545","0.515151515152","0.363636363636","0.83333333333"
"3212","Trevor Booker"," 1385280","WAS","6'8""","240","Clemson","USA","2010","1","23","  -7.8","2013","PF","25","48","14","  18.5","  2.3","  4.6","  0.0","  0.1","  2.3","  4.5","  0.8","  1.5"," 2.0","  2.9","  5.0","  0.8"," 0.7"," 0.3","  0.6","  2.0","  5.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.500000000000","0.511111111111","0.500000000000","0.000000000000","0.53333333333"
"3213","Willie Green"," 1375000","LAC","6'3""","201","Detroit Mercy","USA","2003","2","41","   3.7","2013","SG","31","72","60","  16.5","  2.5","  5.4","  1.0","  2.3","  1.5","  3.1","  0.3","  0.4"," 0.2","  1.1","  1.3","  0.8"," 0.4"," 0.2","  0.4","  1.3","  6.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.462962962963","0.483870967742","0.555555555556","0.434782608696","0.75000000000"
"3214","Evan Fournier"," 1361400","DEN","6'6","200","None","France","2012","1","20","   6.6","2013","SG","20","38"," 4","  11.3","  2.0","  4.0","  0.6","  1.4","  1.4","  2.6","  0.8","  1.0"," 0.2","  0.8","  0.9","  1.2"," 0.5"," 0.0","  0.8","  1.7","  5.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.500000000000","0.538461538462","0.575000000000","0.428571428571","0.80000000000"
"3215","Donatas Motiejunas"," 1361400","HOU","7'0""","222","None","Lithuania","2011","1","20","   3.9","2013","PF","22","44","14","  12.2","  2.2","  4.8","  0.5","  1.9","  1.7","  3.0","  0.7","  1.2"," 0.8","  1.3","  2.1","  0.7"," 0.2"," 0.2","  0.8","  1.7","  5.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.458333333333","0.566666666667","0.510416666667","0.263157894737","0.58333333333"
"3216","Chris Wilcox"," 1352181","BOS","6'10""","235","Maryland","USA","2002","1","8","  -2.1","2013","C","30","61"," 7","  13.6","  1.8","  2.5","  0.0","  0.0","  1.8","  2.5","  0.6","  1.0"," 0.9","  2.0","  3.0","  0.4"," 0.5"," 0.5","  0.6","  2.0","  4.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.720000000000","0.720000000000","0.720000000000","           NaN","0.60000000000"
"3217","Jerry Stackhouse"," 1352181","BKN","6'6","218","North Carolina","USA","1995","1","3","   0.9","2013","SF","38","37"," 0","  14.7","  1.8","  4.6","  0.8","  2.4","  1.0","  2.2","  0.5","  0.6"," 0.1","  0.8","  0.9","  0.9"," 0.2"," 0.1","  0.6","  0.8","  4.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.391304347826","0.454545454545","0.478260869565","0.333333333333","0.83333333333"
"3218","Nazr Mohammed"," 1352181","CHI","6'10""","250","Kentucky","USA","1998","1","29","   0.0","2013","C","35","63","12","  11.0","  1.0","  2.9","  0.0","  0.0","  1.0","  2.8","  0.5","  0.7"," 1.2","  1.9","  3.1","  0.4"," 0.3"," 0.5","  0.4","  1.5","  2.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.344827586207","0.357142857143","0.344827586207","           NaN","0.71428571429"
"3219","Vladimir Radmanovic"," 1352181","CHI","6'10""","235","None","Serbia","2001","1","12"," -11.1","2013","PF","32","25"," 0","   5.8","  0.5","  1.7","  0.2","  1.1","  0.3","  0.6","  0.1","  0.1"," 0.4","  0.7","  1.1","  0.3"," 0.3"," 0.2","  0.3","  1.2","  1.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.294117647059","0.500000000000","0.352941176471","0.181818181818","1.00000000000"
"3220","Antawn Jamison"," 1352181","LAL","6'9""","235","North Carolina","USA","1998","1","4","   0.2","2013","PF","36","76"," 6","  21.5","  3.5","  7.6","  1.1","  3.1","  2.4","  4.5","  1.2","  1.8"," 1.4","  3.3","  4.8","  0.7"," 0.4"," 0.3","  0.7","  1.6","  9.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.460526315789","0.533333333333","0.532894736842","0.354838709677","0.66666666667"
"3221","Joel Przybilla"," 1352181","MIL","7'1""","245","Minnesota","USA","2000","1","9"," -31.3","2013","C","33","12"," 1","   5.7","  0.1","  0.3","  0.0","  0.0","  0.1","  0.3","  0.0","  0.2"," 0.4","  1.3","  1.8","  0.3"," 0.1"," 0.2","  0.3","  0.8","  0.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.333333333333","0.333333333333","0.333333333333","           NaN","0.00000000000"
"3222","Rasheed Wallace"," 1352181","NYK","6'11""","230","North Carolina","USA","1995","1","4","   1.4","2013","C","38","21"," 0","  14.1","  2.6","  6.8","  1.0","  3.3","  1.6","  3.5","  0.7","  1.0"," 0.5","  3.4","  4.0","  0.3"," 0.6"," 0.7","  0.5","  1.9","  7.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.382352941176","0.457142857143","0.455882352941","0.303030303030","0.70000000000"
