"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"23","Anthony Davis","25434263","NOP","6'10""","253","Kentucky","USA","2012","1","1","   5.1","2019","C","25","25","25","  36.8","  9.8"," 19.6","  0.8","  2.6","  9.0"," 17.0","  7.0","  8.6"," 3.2","  8.9"," 12.2","  4.8"," 1.7"," 2.8","  2.3","  2.6"," 27.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","0.500000000000","0.529411764706","0.520408163265","0.307692307692","0.81395348837"
"24","Andre Drummond","25434262","DET","6'11""","279","Connecticut","USA","2012","1","9","  -1.0","2019","C","25","25","25","  33.0","  7.8"," 15.2","  0.1","  0.8","  7.6"," 14.4","  2.8","  5.5"," 6.0","  9.5"," 15.5","  1.3"," 1.4"," 1.7","  2.5","  3.6"," 18.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.513157894737","0.527777777778","0.516447368421","0.125000000000","0.50909090909"
"25","Bradley Beal","25434262","WAS","6'5""","207","Florida","USA","2012","1","3","  -3.1","2019","SG","25","27","27","  35.7","  8.4"," 18.0","  2.3","  6.9","  6.1"," 11.1","  3.9","  5.0"," 0.6","  3.7","  4.3","  4.3"," 1.1"," 1.0","  2.3","  3.1"," 22.9"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.466666666667","0.549549549550","0.530555555556","0.333333333333","0.78000000000"
"26","Hassan Whiteside","24434262","MIA","7'0""","265","Marshall","USA","2010","2","33","   0.1","2019","C","29","22","22","  26.9","  5.6"," 10.7","  0.1","  0.5","  5.5"," 10.1","  2.3","  4.8"," 4.1","  9.5"," 13.7","  0.8"," 0.6"," 2.9","  1.7","  3.1"," 13.5"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.523364485981","0.544554455446","0.528037383178","0.200000000000","0.47916666667"
"27","Dwight Howard","24256725","WAS","6'11""","265","None","USA","2004","1","1","  -8.8","2019","C","33"," 9"," 9","  25.6","  4.8","  7.7","  0.0","  0.0","  4.8","  7.7","  3.2","  5.3"," 2.7","  6.6","  9.2","  0.4"," 0.8"," 0.4","  1.8","  3.8"," 12.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.623376623377","0.623376623377","0.623376623377","           NaN","0.60377358491"
"28","Giannis Antetokounmpo","24157304","MIL","6'11""","242","None","Greece","2013","1","15","  10.9","2019","PF","24","24","24","  34.0"," 10.0"," 17.5","  0.3","  2.5","  9.8"," 15.0","  6.1","  8.8"," 2.7"," 10.6"," 13.3","  6.0"," 1.5"," 1.3","  4.3","  3.2"," 26.5"," 2.5","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","0.571428571429","0.653333333333","0.580000000000","0.120000000000","0.69318181818"
"29","Steven Adams","24157304","OKC","7'0""","265","Pittsburgh","New Zealand","2013","1","12","  11.1","2019","C","25","24","24","  33.3","  6.4"," 10.9","  0.0","  0.0","  6.4"," 10.9","  2.6","  4.7"," 4.9","  5.0"," 10.0","  1.6"," 1.5"," 1.0","  1.6","  2.3"," 15.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.587155963303","0.587155963303","0.587155963303","           NaN","0.55319148936"
"30","Kevin Love","24119025","CLE","6'10""","251","UCLA","USA","2008","1","5"," -12.0","2019","PF","30"," 4"," 4","  34.0","  5.3"," 16.3","  1.8","  6.0","  3.5"," 10.3","  6.8","  8.3"," 2.5"," 11.0"," 13.5","  3.5"," 0.3"," 0.3","  2.5","  3.5"," 19.0"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.325153374233","0.339805825243","0.380368098160","0.300000000000","0.81927710843"
"31","Marc Gasol","24119025","MEM","7'1""","255","None","Spain","2007","2","48","   3.4","2019","C","33","26","26","  35.0","  5.8"," 12.9","  1.7","  4.3","  4.1","  8.6","  3.3","  4.4"," 1.2","  7.6","  8.8","  4.0"," 1.4"," 1.4","  1.9","  2.8"," 16.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.449612403101","0.476744186047","0.515503875969","0.395348837209","0.75000000000"
"32","Harrison Barnes","24107258","DAL","6'8""","225","North Carolina","USA","2012","1","7","  -4.2","2019","SF","26","21","21","  31.7","  6.0"," 14.5","  2.4","  5.9","  3.6","  8.6","  3.3","  4.1"," 0.9","  3.6","  4.5","  1.3"," 0.8"," 0.3","  1.7","  1.8"," 17.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.413793103448","0.418604651163","0.496551724138","0.406779661017","0.80487804878"
