"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"25","JJ Redick",23000000,"PHI","6'4""",200,"Duke","USA","2006","1","11",6.8,2018,"SG",33,70,70,30.2,5.8,12.6,2.8,6.6,3,6,2.8,3.1,0.1,2.4,2.5,3,0.5,0.1,1.5,1.8,17.1,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.46031746031746,0.5,0.571428571428571,0.424242424242424,0.903225806451613,52,12
"26","Kevin Love",22642350,"CLE","6'10""",251,"UCLA","USA","2008","1","5",1.9,2018,"C",29,59,59,28,5.7,12.4,2.3,5.6,3.3,6.8,4,4.5,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2,17.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.459677419354839,0.485294117647059,0.55241935483871,0.410714285714286,0.888888888888889,50,10
"27","DeAndre Jordan",22642350,"LAC","6'11""",265,"Texas A&M","USA","2008","2","35",-2.2,2018,"C",29,77,77,31.5,4.8,7.5,0,0,4.8,7.5,2.4,4.1,4.3,10.9,15.2,1.5,0.5,0.9,1.8,2.6,12,2.1,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.64,0.64,0.64,NA,0.585365853658537,42,10
"28","Brook Lopez",22642350,"LAL","7'0""",268,"Stanford","USA","2008","1","10",-2.2,2018,"C",29,74,72,23.4,5,10.7,1.5,4.4,3.5,6.3,1.5,2.1,1,3,4,1.7,0.4,1.3,1.3,2.6,13,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.467289719626168,0.555555555555556,0.537383177570093,0.340909090909091,0.714285714285714,35,10
"29","Marc Gasol",22642350,"MEM","7'1""",255,"None","Spain","2007","2","48",-6.9,2018,"C",33,73,73,33,5.9,14.2,1.5,4.4,4.5,9.8,3.8,4.6,1.1,7,8.1,4.2,0.7,1.4,2.7,2.5,17.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.415492957746479,0.459183673469388,0.46830985915493,0.340909090909091,0.826086956521739,22,10
"30","Giannis Antetokounmpo",22471911,"MIL","6'11""",222,"None","Greece","2013","1","15",3.1,2018,"PF",23,75,75,36.7,9.9,18.7,0.6,1.9,9.3,16.8,6.5,8.5,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9,2.1,"NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES",0.529411764705882,0.553571428571429,0.545454545454546,0.315789473684211,0.764705882352941,44,5
"31","Steven Adams",22471911,"OKC","7'0""",255,"Pittsburgh","New Zealand","2013","1","12",6.2,2018,"C",24,76,76,32.7,5.9,9.4,0,0,5.9,9.3,2.1,3.8,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.627659574468085,0.634408602150538,0.627659574468085,NA,0.552631578947368,48,5
"32","Nicolas Batum",22434783,"CHO","6'8""",200,"None","France","2008","1","25",-0.2,2018,"SG",29,64,64,31,4.2,10.2,1.4,4.3,2.8,5.9,1.7,2,0.9,3.9,4.8,5.5,1,0.4,2,1.1,11.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.411764705882353,0.474576271186441,0.480392156862745,0.325581395348837,0.85,NA,10
"33","LaMarcus Aldridge",21461010,"SAS","6'11""",260,"Texas","USA","2006","1","2",5.2,2018,"C",32,75,75,33.5,9.2,18,0.4,1.2,8.8,16.7,4.5,5.3,3.3,5.2,8.5,2,0.6,1.2,1.5,2.1,23.1,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.511111111111111,0.526946107784431,0.522222222222222,0.333333333333333,0.849056603773585,47,12
"34","Greg Monroe",21384175,"BOS","6'11""",265,"Georgetown","USA","2010","1","7",-9.2,2018,"C",27,51,14,20.4,4.3,7.6,0,0,4.3,7.6,1.7,2.3,2.1,4.7,6.9,2.2,0.9,0.5,1.8,1.9,10.3,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.565789473684211,0.565789473684211,0.565789473684211,NA,0.739130434782609,55,8
