"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"5133","Donell Taylor",664209,"WAS","6'5""",193,"Alabama-Birmingham","USA","Undrafted","Undrafted","Undrafted",-11,2007,"SG",24,47,1,7.9,1.2,3,0.1,0.4,1.1,2.6,0.2,0.4,0.3,0.8,1.1,1,0.4,0.1,0.5,0.7,2.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.4230769,0.4166667,0.25,0.5,41,2
"5134","Paul Millsap",625000,"UTA","6'8""",258,"Louisiana Tech","USA","2006","2","47",6,2007,"PF",21,82,1,18,2.5,4.9,0,0,2.5,4.8,1.7,2.5,2.2,2.9,5.2,0.8,0.8,0.9,1.1,2.9,6.8,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5102041,0.5208333,0.5102041,NA,0.68,51,12
"5135","Steve Novak",600000,"HOU","6'10""",220,"Marquette","USA","2006","2","32",-10.5,2007,"SF",23,35,1,5.5,0.5,1.4,0.4,1.1,0.1,0.3,0.1,0.1,0.1,0.6,0.7,0.2,0.1,0,0.1,0.6,1.5,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3571429,0.3333333,0.5,0.3636364,1,52,9
"5136","Leon Powe",432000,"BOS","6'8""",240,"California","USA","2006","2","49",-1.3,2007,"C",23,63,2,11.4,1.3,2.8,0,0,1.3,2.8,1.7,2.3,1.5,1.9,3.4,0.2,0.2,0.3,0.7,1.7,4.2,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4642857,0.4642857,0.4642857,NA,0.7391304,24,5
"5137","Cedric Bozeman",412718,"ATL","6'6",207,"UCLA","USA","Undrafted","Undrafted","Undrafted",-4.3,2007,"SG",23,23,5,8.7,0.5,1.7,0.1,0.6,0.4,1.1,0.1,0.3,0.1,0.9,1,0.4,0.2,0.1,0.4,1.4,1.1,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2941176,0.3636364,0.3235294,0.1666667,0.3333333,30,1
"5138","Allan Ray",412718,"BOS","6'2""",190,"Villanova","USA","Undrafted","Undrafted","Undrafted",0.2,2007,"SG",22,47,5,15.1,2.1,5.5,1,2.5,1.1,3,0.9,1.2,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3818182,0.3666667,0.4727273,0.4,0.75,24,1
"5139","Hassan Adams",412718,"BRK","6'4""",220,"Arizona","USA","2006","2","54",-1.3,2007,"SG",22,61,8,8.1,1.2,2.2,0,0,1.2,2.2,0.4,0.6,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5454545,0.5454545,0.5454545,NA,0.6666667,41,1
"5140","Ryan Hollins",412718,"CHO","7'0""",230,"UCLA","USA","2006","2","50",-23.3,2007,"C",22,27,0,6.9,0.7,1.3,0,0,0.7,1.3,0.9,1.5,0.4,0.7,1.1,0,0.1,0.3,0.6,1.5,2.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5384615,0.5384615,0.5384615,NA,0.6,NA,10
"5141","Daniel Gibson",412718,"CLE","6'2""",190,"Texas","USA","2006","2","42",4.4,2007,"PG",20,60,16,16.5,1.6,3.9,0.9,2.1,0.8,1.8,0.5,0.7,0.5,1.1,1.5,1.2,0.4,0.1,0.7,1.6,4.6,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4102564,0.4444444,0.525641,0.4285714,0.7142857,50,7
"5142","Pops Mensah-Bonsu",412718,"DAL","6'9""",240,"George Washington","USA","Undrafted","Undrafted","Undrafted",1.4,2007,"PF",23,12,0,5.9,0.9,1.4,0,0,0.9,1.4,0.6,1.5,0.8,1,1.8,0,0.1,0,0.8,0.7,2.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.6428571,0.6428571,0.6428571,NA,0.4,67,2
"5143","JJ Barea",412718,"DAL","6'0""",175,"Northeastern","Puerto Rico","Undrafted","Undrafted","Undrafted",-11.2,2007,"PG",22,33,1,5.8,0.8,2.4,0.2,0.6,0.7,1.7,0.5,0.7,0.2,0.5,0.8,0.7,0,0,0.4,0.6,2.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3333333,0.4117647,0.375,0.3333333,0.7142857,67,9
"5144","Yakhouba Diawara",412718,"DEN","6'7""",225,"Pepperdine","USA","Undrafted","Undrafted","Undrafted",1.1,2007,"SG",24,64,19,18.4,1.6,4.6,0.8,2.7,0.8,1.9,0.5,0.8,0.4,1.3,1.7,0.9,0.5,0.1,0.6,2.1,4.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3478261,0.4210526,0.4347826,0.2962963,0.625,45,3
"5145","Will Blalock",412718,"DET","6'0""",205,"Iowa State","USA","2006","2","60",-5.8,2007,"PG",23,14,0,11.9,0.6,2.1,0.1,0.4,0.6,1.8,0.4,0.4,0.4,0.6,1.1,1.2,0.4,0,0.9,0.6,1.8,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2857143,0.3333333,0.3095238,0.25,1,53,1
"5146","Paul Davis",412718,"LAC","6'11""",270,"Michigan State","USA","2006","2","34",-0.8,2007,"C",22,31,0,5.8,0.7,1.7,0,0,0.7,1.7,0.2,0.3,0.7,0.7,1.4,0.2,0.2,0.2,0.3,0.9,1.6,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4117647,0.4117647,0.4117647,NA,0.6666667,40,3
"5147","Alexander Johnson",412718,"MEM","6'9""",240,"Florida State","USA","2006","2","45",-0.8,2007,"PF",23,59,19,12.8,1.5,2.9,0,0,1.5,2.9,1.3,2,0.8,2.2,3.1,0.3,0.4,0.6,0.8,2.3,4.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5172414,0.5172414,0.5172414,NA,0.65,22,2
"5148","Tarence Kinsey",412718,"MEM","6'6",189,"South Carolina","USA","Undrafted","Undrafted","Undrafted",-5.2,2007,"SG",22,48,12,20.1,2.9,6.3,0.3,1,2.6,5.4,1.6,2,0.6,1.4,2,0.9,1.1,0,1,1.2,7.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4603175,0.4814815,0.484127,0.3,0.8,22,3
"5149","Chris Quinn",412718,"MIA","6'2""",185,"Notre Dame","USA","Undrafted","Undrafted","Undrafted",1.7,2007,"PG",23,42,1,9.7,1.1,3.1,0.5,1.4,0.7,1.8,0.6,0.9,0.1,0.6,0.7,1.5,0.4,0,0.5,0.8,3.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3548387,0.3888889,0.4354839,0.3571429,0.6666667,44,6
"5150","Robert Hite",412718,"MIA","6'2""",184,"Miami (FL)","USA","Undrafted","Undrafted","Undrafted",-5,2007,"SG",23,12,0,11.3,1.6,5,0.4,1.9,1.2,3.1,0.7,1,0.3,1,1.3,0.7,0.3,0.2,0.5,0.7,4.3,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.32,0.3870968,0.36,0.2105263,0.7,44,1
"5151","Damir Markota",412718,"MIL","6'10""",225,"None","USA","2006","2","59",-10.7,2007,"PF",21,30,0,5.7,0.6,1.7,0.2,0.5,0.4,1.2,0.2,0.4,0.4,0.7,1,0.2,0.1,0,0.5,0.7,1.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3529412,0.3333333,0.4117647,0.4,0.5,28,1
"5152","David Noel",412718,"MIL","6'6",230,"North Carolina","USA","2006","2","39",-9.9,2007,"PF",22,68,0,11.6,1,2.6,0.3,0.8,0.7,1.8,0.5,0.6,0.6,1.2,1.8,1,0.4,0.1,0.6,1.1,2.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3846154,0.3888889,0.4423077,0.375,0.8333333,28,1
"5153","Craig Smith",412718,"MIN","6'7""",272,"Boston College","USA","2006","2","36",-4.1,2007,"PF",23,82,5,18.7,3,5.6,0,0.1,3,5.6,1.4,2.3,1.8,3.3,5.1,0.6,0.6,0.2,0.9,2.7,7.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5357143,0.5357143,0.5357143,0,0.6086957,32,6
"5154","Marcus Vinicius",412718,"NOP","6'8""",225,"None","USA","2006","2","43",-18.9,2007,"SF",22,13,0,7.9,0.5,1.2,0.2,0.5,0.3,0.6,0.4,0.5,0.2,0.7,0.8,0.4,0.2,0.1,0.5,0.8,1.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4166667,0.5,0.5,0.4,0.8,39,2
"5155","Bobby Jones",412718,"PHI","6'7""",215,"Washington","USA","2006","2","37",7.5,2007,"SF",23,44,5,7.6,1,2.1,0,0.2,1,1.9,0.5,0.9,0.5,0.8,1.3,0.4,0.3,0,0.4,1.3,2.5,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4761905,0.5263158,0.4761905,0,0.5555556,35,2
"5156","Dee Brown",412718,"UTA","6'0""",181,"Illinois","USA","2006","2","46",1.8,2007,"PG",22,49,0,9.2,0.7,2,0.1,0.6,0.5,1.4,0.5,0.8,0.2,0.7,0.8,1.7,0.4,0.1,0.6,1,1.9,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.35,0.3571429,0.375,0.1666667,0.625,51,4
"5157","Jared Reiner",396905,"MIL","6'11""",255,"Iowa","USA","Undrafted","Undrafted","Undrafted",-12,2007,"C",24,27,2,9,0.6,1.6,0,0,0.6,1.6,0.1,0.4,0.8,1.9,2.6,0.5,0.2,0.2,0.5,1.7,1.2,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.375,0.375,0.375,NA,0.25,28,2
"5158","Junior Harrington",390556,"MEM","6'4""",190,"Wingate","USA","Undrafted","Undrafted","Undrafted",-1.9,2007,"PG",26,29,8,18.7,2,4.7,0.2,0.9,1.7,3.8,1.1,1.6,0.4,1.9,2.3,3.1,0.7,0.2,1.8,2.7,5.2,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4255319,0.4473684,0.4468085,0.2222222,0.6875,22,3
"5159","Kelenna Azubuike",301657,"GSW","6'5""",220,"Kentucky","England","Undrafted","Undrafted","Undrafted",-11.5,2007,"SG",23,41,9,16.3,2.4,5.4,0.8,1.9,1.6,3.4,1.5,1.9,0.6,1.7,2.3,0.7,0.5,0.2,1,1.2,7.1,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4444444,0.4705882,0.5185185,0.4210526,0.7894737,42,4
"5160","Anthony Roberson",267111,"GSW","6'2""",188,"Florida","USA","Undrafted","Undrafted","Undrafted",-11.1,2007,"PG",23,20,1,11.4,2.2,5.2,1.1,2.8,1.2,2.5,0.1,0.2,0.1,1,1.1,0.5,0.6,0,0.7,1.4,5.6,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4230769,0.48,0.5288462,0.3928571,0.5,42,3
"5161","Justin Williams",261724,"SAC","6'10""",230,"Wyoming","USA","Undrafted","Undrafted","Undrafted",-8.3,2007,"C",22,26,1,12.8,2.1,3.4,0,0,2.1,3.3,0.9,2.4,2,2.5,4.4,0.1,0.2,0.6,0.6,2,5,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.6176471,0.6363636,0.6176471,NA,0.375,33,2
"5162","Stephen Graham",259204,"POR","6'6",215,"Oklahoma State","USA","Undrafted","Undrafted","Undrafted",-13.3,2007,"SG",24,14,1,11.8,1.2,2.9,0.2,0.8,1,2.1,0.6,0.6,0.4,1.1,1.5,0.4,0.3,0.1,0.9,1.8,3.2,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4137931,0.4761905,0.4482759,0.25,1,32,6
"5163","Andre Brown",241591,"OKC","6'9""",245,"DePaul","USA","Undrafted","Undrafted","Undrafted",-3.9,2007,"PF",25,38,0,7.1,1.1,1.9,0,0,1.1,1.9,0.2,0.4,0.7,1.3,1.9,0.1,0.2,0.1,0.8,0.7,2.4,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5789474,0.5789474,0.5789474,NA,0.5,31,2
"5164","Andreas Glyniadakis",161061,"OKC","7'1""",280,"None","USA","2003","2","58",-14.2,2007,"C",25,13,4,6.2,0.6,1.3,0,0,0.6,1.3,0.1,0.2,0.2,0.5,0.6,0.1,0,0,0.7,1.5,1.3,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4615385,0.4615385,0.4615385,NA,0.5,31,1
"5165","Doug Christie",158071,"LAC","6'6",205,"Pepperdine","USA","1992","1","17",-17.6,2007,"SG",36,7,0,11.7,0.7,2.4,0.1,0.9,0.6,1.6,0.3,0.4,0.4,1.1,1.6,1.1,0.4,0.1,0.7,1.6,1.9,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2916667,0.375,0.3125,0.1111111,0.75,40,8
"5166","Matt Freije",145961,"ATL","6'9""",249,"Vanderbilt","USA","2004","2","53",1.7,2007,"PF",25,19,0,7.7,0.8,2.8,0.2,1.2,0.7,1.7,0.3,0.3,0.4,0.8,1.3,0.4,0.2,0.1,0.2,0.7,2.1,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2857143,0.4117647,0.3214286,0.1666667,1,30,2
"5167","Alan Anderson",102131,"CHO","6'6",220,"Michigan State","USA","Undrafted","Undrafted","Undrafted",-4.6,2007,"SG",24,17,0,15.1,2.2,4.8,0.3,1.2,1.9,3.6,1.1,1.4,0.6,1.2,1.9,1.2,0.4,0,1.3,1.9,5.8,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4583333,0.5277778,0.4895833,0.25,0.7857143,NA,7
"5168","Dijon Thompson",89101,"ATL","6'8""",200,"UCLA","USA","2005","2","54",-7.1,2007,"SF",23,6,0,8.3,1,2.5,0,0.3,1,2.2,0.8,1,0.5,0.8,1.3,0.3,0,0,0.2,0.3,2.8,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.4545455,0.4,0,0.8,30,1
"5169","Luke Schenscher",55000,"POR","7'1""",265,"Georgia Tech","USA","Undrafted","Undrafted","Undrafted",0.4,2007,"C",24,11,0,10.7,0.6,2.1,0,0,0.6,2.1,0.5,0.6,0.9,1.4,2.3,0.1,0.2,0.4,0.4,2.3,1.7,3.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2857143,0.2857143,0.2857143,NA,0.8333333,32,1
"5170","Shaquille O'Neal",20000000,"MIA","7'1""",325,"Louisiana State","USA","1992","1","1",7.9,2006,"C",33,59,58,30.6,8.1,13.6,0,0,8.1,13.6,3.7,8,2.9,6.3,9.2,1.9,0.4,1.8,2.8,3.9,20,3.4,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.5955882,0.5955882,0.5955882,NA,0.4625,52,12
"5171","Chris Webber",19125000,"PHI","6'10""",245,"Michigan","USA","1993","1","1",-2.1,2006,"PF",32,75,75,38.6,8.2,19,0.3,1,7.9,17.9,3.5,4.6,2.5,7.4,9.9,3.4,1.4,0.8,2.4,2.9,20.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4315789,0.4413408,0.4394737,0.3,0.7608696,38,9
"5172","Michael Finley",18612500,"SAS","6'7""",225,"Wisconsin","USA","1995","1","21",6,2006,"SG",32,77,18,26.5,3.7,9,1.4,3.6,2.3,5.4,1.3,1.5,0.4,2.8,3.2,1.5,0.5,0.1,0.8,1.3,10.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4111111,0.4259259,0.4888889,0.3888889,0.8666667,63,11
"5173","Kevin Garnett",18000000,"MIN","6'11""",220,"None","USA","1995","1","5",1.3,2006,"PF",29,76,76,38.9,8.2,15.7,0.1,0.4,8.1,15.3,5.2,6.4,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,3.4,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES",0.522293,0.5294118,0.5254777,0.25,0.8125,33,17
"5174","Stephon Marbury",16453125,"NYK","6'2""",205,"Georgia Tech","USA","1996","1","4",-6.4,2006,"PG",28,60,60,36.6,5.8,12.9,0.6,1.7,5.3,11.2,4.1,5.4,0.4,2.5,2.9,6.4,1.1,0.1,2.6,2.4,16.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4496124,0.4732143,0.4728682,0.3529412,0.7592593,23,10
"5175","Allen Iverson",16453125,"PHI","6'0""",165,"Georgetown","USA","1996","1","1",0.3,2006,"PG",30,72,72,43.1,11.3,25.3,1,3.1,10.3,22.2,9.4,11.5,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33,3.4,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.4466403,0.463964,0.4664032,0.3225806,0.8173913,38,11
"5176","Jason Kidd",16440000,"BRK","6'4""",210,"California","USA","1994","1","2",4.5,2006,"PG",32,80,80,37.2,4.6,11.3,1.7,4.9,2.8,6.4,2.4,3.1,1.1,6.2,7.3,8.4,1.9,0.4,2.4,2,13.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",0.4070796,0.4375,0.4823009,0.3469388,0.7741935,49,14
"5177","Jermaine O'Neal",16440000,"IND","6'11""",260,"None","USA","1996","1","17",3.5,2006,"PF",27,51,47,35.3,7.5,15.8,0.1,0.2,7.4,15.6,5.1,7.2,2,7.3,9.3,2.6,0.5,2.3,3,3.5,20.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4746835,0.474359,0.4778481,0.5,0.7083333,41,15
"5178","Brian Grant",16006220,"PHO","6'9""",254,"Xavier","USA","1994","1","8",-2.8,2006,"C",33,21,2,11.8,1.3,3.1,0,0,1.3,3.1,0.3,0.4,0.5,2.2,2.7,0.3,0.2,0.1,0.3,2.1,2.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4193548,0.4193548,0.4193548,NA,0.75,54,7
"5179","Kobe Bryant",15946875,"LAL","6'6",220,"None","USA","1996","1","13",4.9,2006,"SG",27,80,80,41,12.2,27.2,2.3,6.5,10,20.7,8.7,10.2,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,3.4,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.4485294,0.4830918,0.4908088,0.3538462,0.8529412,45,17
"5180","Tim Duncan",15845156,"SAS","6'11""",260,"Wake Forest","US Virgin Isl...","1997","1","1",9.9,2006,"PF",29,80,80,34.8,7.2,14.8,0,0.1,7.2,14.8,4.2,6.7,2.9,8.1,11,3.2,0.9,2,2.5,2.7,18.6,3.4,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO",0.4864865,0.4864865,0.4864865,0,0.6268657,63,17
"5181","Keith Van Horn",15694250,"DAL","6'10""",245,"Utah","USA","1997","1","2",4.6,2006,"SF",30,53,0,20.6,3.1,7.3,0.9,2.6,2.2,4.7,1.8,2.1,1,2.6,3.6,0.7,0.6,0.2,1.3,2.3,8.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4246575,0.4680851,0.4863014,0.3461538,0.8571429,60,7
"5182","Tracy McGrady",15694250,"HOU","6'8""",210,"None","USA","1997","1","9",1.8,2006,"SF",26,47,47,37.1,8.7,21.5,1.6,5,7.2,16.5,5.4,7.2,1,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,3.4,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.4046512,0.4363636,0.4418605,0.32,0.75,34,13
"5183","Grant Hill",15694250,"ORL","6'8""",225,"Duke","USA","1994","1","3",-3.6,2006,"SF",33,21,17,29.2,5.7,11.6,0.1,0.4,5.6,11.2,3.7,4.9,0.7,3.1,3.8,2.3,1.1,0.3,1.7,2.4,15.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4913793,0.5,0.4956897,0.25,0.755102,36,12
"5184","Jalen Rose",15694250,"NYK","6'8""",215,"Michigan","USA","1994","1","13",-6.9,2006,"SF-SG",33,72,45,27.5,4,9.5,0.8,2.4,3.2,7.1,3.4,4.4,0.4,2.5,2.9,2.5,0.4,0.2,1.6,2.2,12.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4210526,0.4507042,0.4631579,0.3333333,0.7727273,23,8
"5185","Eddie Jones",14576250,"MEM","6'6",200,"Temple","USA","1994","1","10",7.5,2006,"SG",34,75,75,32.5,3.9,9.6,1.8,5,2.1,4.6,2.2,2.9,0.5,3.3,3.7,2.4,1.7,0.4,1.2,2.7,11.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.40625,0.4565217,0.5,0.36,0.7586207,49,9
"5186","Tim Thomas",13975000,"PHO","6'10""",240,"Villanova","USA","1997","1","7",1.7,2006,"PF-SF",28,29,10,23,3.9,9,1.6,3.8,2.3,5.2,1,1.4,0.8,3.8,4.5,0.7,0.6,0.2,1.1,2.7,10.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4333333,0.4423077,0.5222222,0.4210526,0.7142857,54,11
"5187","Antonio Davis",13925000,"TOR","6'9""",245,"Texas-El Paso","USA","1990","2","45",-9.9,2006,"PF-C",37,44,39,21.4,1.9,4.3,0,0,1.9,4.3,1.2,1.8,2,2.7,4.7,0.5,0.5,0.2,1.2,2.8,4.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4418605,0.4418605,0.4418605,NA,0.6666667,27,7
"5188","Paul Pierce",13843156,"BOS","6'6",230,"Kansas","USA","1998","1","10",-0.4,2006,"SF",28,79,79,39,8.7,18.5,1.4,4,7.3,14.5,7.9,10.3,1,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4702703,0.5034483,0.5081081,0.35,0.7669903,33,18
"5189","Vince Carter",13843156,"BRK","6'6",220,"North Carolina","USA","1998","1","5",6,2006,"SG",29,79,79,36.8,8.3,19.2,1.6,4.6,6.7,14.6,6.1,7.6,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3,24.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4322917,0.4589041,0.4739583,0.3478261,0.8026316,49,19
"5190","Dirk Nowitzki",13843156,"DAL","7'0""",245,"None","Germany","1998","1","9",8.7,2006,"PF",27,81,81,38.1,9.3,19.3,1.4,3.3,7.9,16,6.7,7.4,1.4,7.6,9,2.8,0.7,1,1.9,2,26.6,3.4,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.4818653,0.49375,0.5181347,0.4242424,0.9054054,60,19
"5191","Antawn Jamison",13843156,"WAS","6'9""",235,"North Carolina","USA","1998","1","4",3.5,2006,"SF",29,82,80,40.1,8,18.2,1.8,4.5,6.3,13.7,2.6,3.6,2,7.3,9.3,1.9,1.1,0.1,1.7,2.3,20.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4395604,0.459854,0.489011,0.4,0.7222222,42,15
"5192","Baron Davis",13700000,"GSW","6'3""",215,"UCLA","USA","1999","1","3",0.8,2006,"PG",26,54,48,36.5,6.2,15.9,1.9,6,4.3,9.9,3.6,5.4,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1,17.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3899371,0.4343434,0.4496855,0.3166667,0.6666667,34,13
"5193","Steve Francis",13700000,"NYK","6'3""",200,"Maryland","USA","1999","1","2",-5,2006,"PG-SG",28,70,60,34.2,4.8,10.9,0.4,1.2,4.4,9.7,4.5,5.7,1.1,3.1,4.1,4.9,1.1,0.2,3.1,2.9,14.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.440367,0.4536082,0.4587156,0.3333333,0.7894737,23,9
"5194","Shawn Marion",13700000,"PHO","6'7""",228,"Nevada-Las Vegas","USA","1999","1","9",6.1,2006,"PF",27,81,81,40.3,8.8,16.9,1.2,3.6,7.7,13.3,3,3.7,3.1,8.8,11.8,1.8,2,1.7,1.5,2.8,21.8,3.4,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.5207101,0.5789474,0.556213,0.3333333,0.8108108,54,16
"5195","Ray Allen",13223140,"OKC","6'5""",205,"Connecticut","USA","1996","1","5",-0.6,2006,"SG",30,78,78,38.7,8.7,19.2,3.4,8.4,5.3,10.9,4.2,4.6,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,3.4,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.453125,0.4862385,0.5416667,0.4047619,0.9130435,35,15
"5196","Elton Brand",13152000,"LAC","6'8""",254,"Duke","USA","1999","1","1",3.1,2006,"PF",26,79,79,39.2,9.6,18.2,0,0,9.6,18.1,5.6,7.2,3,7,10,2.6,1,2.5,2.2,2.9,24.7,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5274725,0.5303867,0.5274725,NA,0.7777778,47,17
"5197","Joe Johnson",12000000,"ATL","6'7""",230,"Arkansas","USA","2001","1","10",-5.9,2006,"SG",24,82,82,40.7,7.7,17,1.6,4.4,6.1,12.6,3.2,4,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4529412,0.484127,0.5,0.3636364,0.8,26,17
"5198","Michael Redd",12000000,"MIL","6'6",215,"Ohio State","USA","2000","2","43",1,2006,"SG",26,80,80,39.1,8.5,19,2,5.2,6.5,13.8,6.3,7.1,1,3.3,4.3,2.9,1.2,0.1,2.1,2,25.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4473684,0.4710145,0.5,0.3846154,0.8873239,40,12
"5199","Theo Ratliff",11666666,"POR","6'10""",235,"Wyoming","USA","1995","1","18",-7.7,2006,"C",32,55,19,23.7,2,3.4,0,0,2,3.4,1,1.5,1.6,3.5,5.1,0.5,0.3,1.6,0.9,2.6,4.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5882353,0.5882353,0.5882353,NA,0.6666667,21,9
